NO,발행일,카테고리,매거진 제목,핵심 키워드 (태그),상태,비고 / 뉴스 링크
1,2026-06-04,스미싱/피싱,공공기관 안내처럼 보여도 한 번 더 확인하고 안전하게 이용하세요,,,
2,2026-06-04,해킹/침해사고,"비밀번호, 자주 바꾸는 것보다 안전하게 관리하는 것이 더 중요합니다.",,,
3,2026-06-04,악성코드/앱,"앱 설치 전 권한 확인, 내 정보를 지키는 가장 쉬운 방법입니다.",,,
4,2026-06-04,개인정보 유출,개인정보 유출 소식이 들린다면 가장 먼저 확인해야 할 보안 습관,,,
5,2026-06-04,제도/정책,"보안 업데이트 알림, 미루지 말고 바로 적용하세요",,,
6,2026-06-05,개인정보 유출,OTT 서비스 사칭 연락에 주의하세요,,,
7,2026-06-11,개인정보 유출,같은 비밀번호를 여러 곳에서 사용하고 있다면 지금 확인해 보세요,,,
8,2026-06-18,악성코드/앱,보안팀 안내처럼 보여도 첨부파일은 한 번 더 확인하세요,"이메일 사칭, 첨부파일, 악성코드, 보안 점검",작성 완료,https://www.genians.co.kr/blog/threat_intelligence/narwhalrat
9,2026-06-25,악성코드/앱,브라우저 확장 프로그램도 설치 전 권한을 확인하세요,"브라우저 확장 프로그램, 권한 확인, 공식 웹스토어, 보안 업데이트",작성 완료,https://m.boannews.com/html/detail.html?idx=144205
10,2026-07-02,스미싱/피싱,카드 배송·사건 조회 안내도 링크부터 누르지 마세요,"카드 배송 사칭, 사건 조회 문자, 악성 앱, 118 상담",작성 완료,https://v.daum.net/v/20250427154009995; https://www.kisa.kr/118; https://m.boannews.com/html/detail.html?idx=128369
