NO,발행일,카테고리,매거진 제목,핵심 키워드 (태그),상태,비고 / 뉴스 링크
1,2026-06-04,스미싱/피싱,공공기관 안내처럼 보여도 한 번 더 확인하고 안전하게 이용하세요,,,
2,2026-06-04,해킹/침해사고,"비밀번호, 자주 바꾸는 것보다 안전하게 관리하는 것이 더 중요합니다.",,,
3,2026-06-04,악성코드/앱,"앱 설치 전 권한 확인, 내 정보를 지키는 가장 쉬운 방법입니다.",,,
4,2026-06-04,개인정보 유출,개인정보 유출 소식이 들린다면 가장 먼저 확인해야 할 보안 습관,,,
5,2026-06-04,제도/정책,"보안 업데이트 알림, 미루지 말고 바로 적용하세요",,,
6,2026-06-05,개인정보 유출,OTT 서비스 사칭 연락에 주의하세요,,,
7,2026-06-11,개인정보 유출,같은 비밀번호를 여러 곳에서 사용하고 있다면 지금 확인해 보세요,,,
8,2026-06-18,악성코드/앱,보안팀 안내처럼 보여도 첨부파일은 한 번 더 확인하세요,"이메일 사칭, 첨부파일, 악성코드, 보안 점검",작성 완료,https://www.genians.co.kr/blog/threat_intelligence/narwhalrat
9,2026-06-25,악성코드/앱,브라우저 확장 프로그램도 설치 전 권한을 확인하세요,"브라우저 확장 프로그램, 권한 확인, 공식 웹스토어, 보안 업데이트",작성 완료,https://m.boannews.com/html/detail.html?idx=144205
10,2026-07-02,스미싱/피싱,카드 배송·사건 조회 안내도 링크부터 누르지 마세요,"카드 배송 사칭, 사건 조회 문자, 악성 앱, 118 상담",작성 완료,https://v.daum.net/v/20250427154009995; https://www.kisa.kr/118; https://m.boannews.com/html/detail.html?idx=128369
11,2026-07-09,제도/정책,"개인정보 유출 안내를 받으면, 미루지 말고 이렇게 대응하세요","개인정보보호법 개정, 유출 통지, 분쟁조정, 118",작성 완료,https://www.lawtimes.co.kr/news/articleView.html?idxno=218033; https://www.privacy.go.kr
12,2026-07-16,해킹/침해사고,공용 와이파이에서는 금융·로그인 정보 입력을 잠시 멈추세요,"공용 와이파이, 공중 무선랜, 금융 보안, https",작성 완료,https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000127&nttId=696&menuNo=205021; https://www.kcc.go.kr
13,2026-07-22,스미싱/피싱,"카드사 '계정 정지' 사칭 문자, 링크 누르지 말고 실시간 탐지로 예방하세요","카드사 사칭, 계정 정지 사칭, 피싱사이트, DefendPlus, NH콕뱅크",작성 완료,KISA 카드사 사칭 스미싱·피싱 주의 권고(첨부); https://play.google.com/store/apps/details?id=com.atoncorp.defendplus.app
14,2026-07-30,해킹/침해사고,"소중한 자료는 미리 백업, 랜섬웨어 피해를 줄이는 습관","랜섬웨어, 백업, 자료 보호, 보안 업데이트",작성 완료,https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&nttId=71771&menuNo=205020; https://www.kisa.or.kr/402/form?postSeq=2299
15,2026-08-06,제도/정책,미리 신청해 두면 좋은 무료 금융·통신 보호 제도,"무료 보호 제도, 지연이체, 안심차단, 번호도용문자차단, 지급정지",작성 완료,https://www.hankookilbo.com/news/article/A2025100115380004846; https://www.fss.or.kr
16,2026-08-14,스미싱/피싱,"주민센터 번호로 걸려 온 전화라도, 알려준 번호로 바로 회신하지 마세요","보이스피싱, 주민센터 사칭, 발신번호 변작, 회신 유도, 118",작성 완료,https://www.boho.or.kr/kr/bbs/view.do?bbsId=B0000133&menuNo=205020&nttId=72158; https://www.kisa.or.kr/402/form?postSeq=2588
